days,mean_1,std_1
7,42.721428571428575,18.69725544897009
14,57.53809523809524,26.190921461741254
23,99.06214285714285,53.76778199500163
29,203.95428571428567,101.30082863029637
34,337.21738095238095,150.22145339074225
